"id","name","position","team","posRank","avg","vorp","volr","price"
"14190","Long, Ty","PN","FA",42,1.97333333333333,-2.74,-1.63333333333333,10.76
"9064","Flacco, Joe","QB","NYJ",43,10.4825,-9.7285,-4.07625,16.77
"11228","Woods, Robert","WR+TE","TEN",43,9.09333333333333,0.847333333333333,3.22333333333333,11.96
"14926","Gay, Willie","LB","KCC",43,7.7125,-0.310833333333333,1.23416666666667,8.47
"14805","Dillon, AJ","RB","GBP",43,7.6525,-0.0774999999999997,2.71083333333333,10.64
"11801","Desir, Pierre","CB","FA",43,7.62,-0.409999999999999,0.2475,7.39
"12734","Floyd, Leonard","DE","LAR",43,7.20333333333333,-0.121666666666666,1.37333333333333,8.45
"14179","Love, Julian","S","NYG",43,7.074,-1.33933333333333,0.382,8.91
"13692","Vea, Vita","DT","TBB",43,6.75666666666667,-1.24333333333333,0.473333333333334,7.56
"14258","Seibert, Austin","PK","FA",43,2.756,-2.772,-1.759,10.23
"13791","Scott, J.K.","PN","LAC",43,1.78,-2.93333333333333,-1.82666666666667,10.57
"15238","Fields, Justin","QB","CHI",44,10.475,-9.736,-4.08375,16.76
"15753","Wilson, Garrett","WR+TE","NYJ",44,9.07,0.824,3.2,11.94
"12788","Martinez, Blake","LB","FA",44,7.63333333333333,-0.390000000000001,1.155,8.4
"12988","Jones, Jonathan","CB","NEP",44,7.60333333333333,-0.426666666666666,0.230833333333333,7.37
"13139","Williams, Jamaal","RB","DET",44,7.49333333333333,-0.236666666666667,2.55166666666667,10.48
"14923","Taylor, Darrell","DE","SEA",44,7.17666666666667,-0.148333333333333,1.34666666666667,8.42
"11017","McLeod, Rodney","S","IND",44,7,-1.41333333333333,0.308,8.84
"13693","Phillips, Harrison","DT","MIN",44,6.725,-1.275,0.441666666666667,7.53
"13900","Bertolet, Taylor","PK","LAC",44,2.27,-3.258,-2.245,9.74
"15055","Charlton, Joseph","PN","FA",44,1.185,-3.52833333333333,-2.42166666666667,9.97
"15696","Zappe, Bailey","QB","NEP",45,10.14,-10.071,-4.41875,16.43
"12263","Waller, Darren","WR+TE","LVR",45,8.975,0.728999999999999,3.105,11.84
"12270","Smith, Preston","LB","GBP",45,7.595,-0.428333333333334,1.11666666666667,8.36
